Video;Channel;Published Date;Comment;Author;Likes;Reply Count;Stance;Camp Definition;Arousal Score;Emotion;Core Argument;Unresolved Question;Link;Comment Analysis Coverage;Camp Shares
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;ALbioooooon I miss this game, omg it's played was good for me;@JosmyWeb7;19;7;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Fire me up Lets go !;@sylvarixreaper;24;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I miss you, Robin Henkys. 😭;@goichi2014;24;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I have been playing since 2019 and never have I seen an announcement for the next content update and went - OMFG! This looks amazing!;@Boza.A;22;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;its funny that albion liked it, when they know its not for solo players.;@inaktiv6177;20;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I had the idea of a dragon shadow appearing as you explore the world, which would lead to players contacting other people and form groups to hunt those dragons. Seeing it actually happen in this video gave me goosebumps, it's like the feeling of a dragon shadow while exploring skyrim, you know things are about to get interesting. This is absolutely one of the best updates I've seen in my 5 years playing Albion, I'm so excited!;@vickaizerwolof5420;17;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Can't wait to see albion in a year with 16 different dragon types xD;@Chaoos76;17;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Don't and never forget what they done and keep on doing to us solo players. last thing they implemented is in off peak hours rss nodes and mobs and open world objects will spawn less.... Albion is a soulless child of corporate greed and sbi just wants to milk it and satisfy its shareholders & investors.;@SweatySmith;15;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Most underrated game of all time. The whole team are always working so hard for features that users provide as feedback, making even more fun. I think I'd restart the game and spread it more through Korea!;@gomtaengss;14;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;i mean since the maps seem widely accessible and are full pve i doubt it will be expensive after the dust settles  unless were talking mammoth level drop chance;@juliluigi7884;9;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;​@TigerRUSwhat do you mean it doesn't drop anywhere? It drops from mammoths just like the transport mammoth you just craft it differently;@illy_ayaya;9;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Sounds like the perfect excuse to return. 👀 Dragonfire lands August 31!🔥;@albiononlineofficial;9;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;End of Avalon Roads is come 😮;@gu4rdayt;8;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Are the ancient lands a lethal pvp zone;@h0pde;3;6;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;what do you mean finally;@golfer4039;8;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;meh... just new hellgates. And Elite dungeons in practice reserved for elite guilds only, just as predicted. Luckily you also added random dragons for solo players. Unless they are only on red maps - in that case they all will be taken by elite guilds as well. Elite guilds will also have full control (and monopoly) over the drake mount market.;@ChordRunner;3;4;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Goosebumps and heavy breath. Thanks for this update Albion.;@linoojeda6193;6;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;tHE HYPE IS INSANE HERE.;@DeLiio;6;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Nice dragon mount, now I'm going to need a dragon pet and a shapeshift staff that allows me to turn into a dragon.;@Xynithos;5;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;No point the update is orange zone. RIP.;@Tomfoolery-x9c;5;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Solo players dont kill Azaryon 😂;@giovanifranco9092;5;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;MORE PVP zones no zones for gatherers game needsa PVP button to turn it on and off;@coldbreeze6344;4;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;so you guys nerfed ava dungeons to the ground and made an even less riskier way to do high end PVE Raids with noone able to dive :D ? probably giving more loot as well. killing a content (Ava Dungeons) shouldnt be done to promote a similar content of the same type just because its new.;@sefaakay5844;1;4;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;yellow zone is for beginners, not to stomp noobs and make them leave the game. go mists then with your 8.4 gear how pathetic are you lol;@tenchu-j8b;4;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Es mucho contenido, lo vamos a disfrutar un montón;@raydex5755;2;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;let's goooo another bullsht big guilds will take advantage of YAY;@Wstre4m;2;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;2:46 they can't follow you inside, but can't they just sit and wait for you to finish the dungeon and kill you when you exit stealing everything you worked for?;@dimaknopf;2;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Why is there ip cap on yellowzone what is the reason of grinding 8.4???;@playerdeniz1;1;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;that only means it's gonna be full of rats fam;@aesttt-f5v;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;same content regurgitated just a new visuals;@luisoliveira-id9vh;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Avaroads is already dead content to be honest;@div_vir;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;This! ...we need more content like this wow good job cooking devs. I think im gonna get into albion again with my friend group;@dante44;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;@albiononlineofficial Please include a black zone version at the very least. Making this orange zone would ruin it.;@Tomfoolery-x9c;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;🔥;@albiononlineofficial;3;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;"First comes the announcement.  ""Nothing will change."" ""The studio will remain independent."" ""Our vision stays exactly the same.""  I've heard this speech so many times from so many companies that I've honestly lost count.  When Sandbox Interactive was acquired by Stillfront in 2020, players were told exactly that. The game design philosophy wouldn't change. The roadmap wouldn't change. The team would remain in control.  Maybe that was true at the time.  But look at Albion today and ask yourself one question:  Does this still feel like a game designed around what players enjoy, or around engagement metrics and revenue?  Take the proposed dynamic spawn rates. Who benefits from making off-peak gameplay less rewarding?  Certainly not the player who works night shifts. Not the parent who only gets to play after midnight. Not people living outside the server's primary timezone.  The only thing it really accomplishes is funneling everyone into peak hours, where activity numbers look better and players compete harder for everything.  Then look at the continued erosion of solo content.  Every few updates, another activity gets less rewarding.' Another incentive to play the way SBI wants instead of the way you want. Another reason to log in during prime time. Another reason to join bigger groups. Another reason to stay engaged on their terms instead of yours.  Maybe every single one of these changes can be justified individually. But together? They paint a pattern. And that's exactly what worries me. Because this is what happens to so many successful games after they're acquired. The conversation slowly shifts away from ""Is this fun?""  Towards:  ""Does this improve engagement?"" ""Does this improve retention?"" ""Does this improve revenue?""  Those aren't the same question.  The saddest part is that Albion didn't become successful because it chased KPIs.  It became successful because it trusted its players.  One global world. Player freedom. Play how you want. Progress however you want.  Now we've got server splits with no meaningful transfer path, increasingly restrictive progression changes, solo content getting chipped away, and mechanics that make playing outside prime time feel worse instead of better. I'm not saying investors are personally designing Albion. I'm saying public companies have one job: increase shareholder value.  When a studio becomes part of that machine, the pressure changes. Sometimes you don't ruin a game by adding pay-to-win. Sometimes you ruin it by making hundreds of small decisions that each look reasonable on paper—but all push in the same direction.  Players don't quit because of one bad patch. They quit because, after years of ""small optimizations,"" they wake up one day and realize they're no longer playing the game they fell in love with.  That's what I'm afraid is happening to Albion.";@Beyscode;2;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Even i liked this;@Efef_AO;1;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;2:23 You make this only now? And only for one type of content?.. well, thanks 🫩;@markustarnik;0;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Why do you guys hate us solo players?;@kamja173;0;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Switch 2 please.;@Melluca;0;3;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;"This is just going to be the same garbage as the Keeper Event, like the tragic red zone where you find a Tier 5 blob at a small camp meant for one person, or those stupid Depths with any trash rates that are ruining the game.  Over the past year, you’ve just been destroying this game. There is so much dead content that desperately needs a rework, like solo dungeons, group dungeons, ava raids, the red zone, HCEs, etc.. .  Instead of fixing what's broken, you let it rot and just push out more pointless content.  At least you managed to make Mists playable again, but knowing you guys, you'll probably ruin it and make it unplayable again in a month. I'm honestly starting to hate SBI.";@OldahrajeAlbion;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;One of the things I miss the most in Albion is a truly engaging PvE experience. Right now, most PvE encounters feel very repetitive. Bosses usually have a couple of simple skill shots, an enormous health pool, and that's about it.  The difficulty doesn't come from mastering mechanics—it comes from spending several minutes hitting a target with hundreds of thousands of HP. Bosses rarely have meaningful mechanics, different combat phases, evolving move sets, or attacks that require players to adapt their strategy.  I believe Albion would greatly benefit from a more challenging, skill-based PvE system. Players should have to dodge abilities, learn mechanics, react to different phases, and develop strategies instead of simply dealing damage until the boss dies.  This kind of content wouldn't only improve PvE—it would also attract PvP players like myself, who eventually left the game because the gameplay became too repetitive. A PvE experience that rewards mechanical skill and decision-making would make Albion far more engaging for every type of player.  There is one point mentioned in the video that I completely disagree with.  I don't think open-world bosses should have very long spawn timers that allow guilds to prepare far in advance. If a powerful boss is announced 24 hours before it appears, the outcome becomes predictable.  This is exactly what already happens with the 8.4 resource nodes. The strongest guilds always secure them because they have plenty of time to organize dozens of players. Smaller or mid-sized guilds simply cannot compete against a top-tier alliance that has an entire day to prepare.  I believe the same thing will happen with the dragons unless this system is carefully balanced.  Instead, the game should lean more toward immediate or short-notice events. For example, if a dragon is going to spawn in one hour—or even with less notice—it creates opportunities for many different guilds to participate. It rewards awareness, quick reactions, and active gameplay rather than just organizational power.  Otherwise, the biggest PvP guilds will permanently control this content and prevent newer or developing guilds from accessing important resources and experiencing the new PvE content.;@Genckouj;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Most dedicated mmorpg developer ever, thank you SBI your game is a masterpiece.;@lifetolearnshorts;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I periodically come back to Albion every year, and I'm so stoked to return just in time to witness this update. The dragons look so goddamn cool in this artstyle. One step closer to being an actual Dragoon.;@nalthanzo4648;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Thank you for keeping Solo players in mind;@MihadMuntasirNobo;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;"""even solo players.."" you just admitted you don't really care about solo players XD";@cato6409;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;i lov u stalker ♥;@HaerinCat15;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;enjoy your orange zone :D;@oppositee-i;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Finaly an update that supports solo players;@steve_meyster;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;As somebody who had the game in 2016 but didnt play it because i thought it was heavy on gathering or crafting and back then only NA servers. Played all the MMOs in the book, but hooked on albion for 2-3 months now PVP/PVE - but man what a gem this game has become. Im happy i didnt play it bcs the state of the game right now is top tier. W Devs keep this shit up;@XIIAN;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Seems like one of the most fun updates to be yet! Really hyped!  I hope in the futute you could make making spontantenious parties easier, the guild and party ui/chat more friendly so solo players could find groups to play with easier Seems like some really lategame stuff will be mainly group content here so it would be really nice to be able to find a party without having to worry about trust and being betrayed;@tediop1330;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Don't pay SBI any money, there is plenty of cheaters, and you will be banned when you complain about them.   And this update? it is just Knightfall Abbey and Depths mixed together. :D;@platynowa;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Well its a hub its going to be controlled by high level guilds nevermind i give up with albion;@Outlawproductions582;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;This is insane.;@fatimaaparecidadasilva5416;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Sick update. PLEASE do not make this yellow zone. Those clips show the zones to be yellow. People play albion because of its cool mechanics and becuase it is full loot. Added end game content that is non lethal is rediculous.;@Tomfoolery-x9c;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Guys I will only say this once. But albion has for the first time satisfied my every wish with an update. And I am getting the fucking dragon mount!!!!!!🔥 🔥 🔥;@kanwalgupta121;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Feeding it mounts sounds like it could really add some value to low-performing mounts. I have no example, but they surely exist;@Grosserracker;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Me and my friends stopped playing your game, asian server premium price isn't fair.;@fadhilsyarif5374;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I don't think so, the Battle Mammoth will be much rarer and more expensive because it doesn't drop anywhere.;@TigerRUS;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Nah it won't mammoth is just too valuable;@hiki1412;2;0;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Do not waste your time with this game WAY too often the game is utterly unplayable due to high ping. You will spend ALL of your time loading the game and rubber banding and getting killed because in Albion....even when you are not there because thier server sucks....you are still online and getting killed. IF Albion ever actually gets their crap together and properly supports the game. then maybe it rates a play. As is NO Just no i am here to play a game not try to load it for 3 hours and then when i do finally get into ....i still can't play it;@MPlain;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Mom i want Safi'jiiva We already have Safi'jiiva at home.  Safi'jiiva at home :;@pragangold4684;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;pls dont tell me the ancients lands are orange zones;@coloroy7026;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Please bring back more loots in dungeons this has been the best highlight of this game for me a few years back 😭;@OBQKZ5PF;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;I'd like to suggest a change for the new dragon PvE dungeon/content.  If a full party is wiped by mobs, the group should either die completely or be removed from the dungeon instead of being able to continue the encounter.  In my opinion, this would make the content feel less like repetitive grinding and more like a real challenge that rewards teamwork, strategy, and skill. A full wipe should have meaningful consequences, making every decision and every mistake matter.  This would make clearing the dungeon feel much more rewarding and encourage players to improve rather than simply trying again with no real penalty.;@StepanPantera1007;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;orange zone xddddd;@whiskasxdd;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Yoooo, that's crazy good🔥;@vladislav.vlaicu;1;1;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;What you need to think about the game is introduction of matchmaking options and help solo players team up and enter outlands/(new outlands map) amd do group contents. You only have LFG for matchmaking in outlands which sucks, no voice chat as well. Do you only want a guild players kind of person who have discord to play the game? Look at the best video games out there like PUBG, Mobile Legends, Counter Strike, DOTA, etc. Do they have to type in chat called LFG inorder to play a game if they want to play group contents?;@JosHmarFX;0;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
Albion Online | Dragonfire Update Introduction;Albion Online;2026-07-24;Wow I suggested this exact Idea 4 years ago to Albion in the comments..glad they are making it in a unique way.;@amongogoi4652;0;2;NEUTRAL_SPAM;;0.0;Neutral;-;;https://www.youtube.com/watch?v=MuzHc8yILwE;93.5% (606/648);No identified camps
