Comment Key;Comment ID;Video Key;Comment;Author;Comment Date;Likes;Reply Count;Is Reply;Engagement Score;Stance;Arousal Score;Emotion;Core Argument
18;Ugx1MZo6T8QKyGNEokZ4AaABAg;1;Albion 2020 was the real peak. You destroyed faction warfare battles in bandit time with camps, stop the camps during bandit time, we need real fights!!!;@livempire;2026-08-28;1;4;1;9;CAMP_B;0.6;Frustration;Faction warfare battles were better in 2020, and recent camp mechanics ruined real fights during bandit time.
19;UgysbdGEGz-SMOZVDg14AaABAg;1;Lethal zone Blackzone İP caps ruined the game;@MrBeful;2026-08-28;1;4;1;9;CAMP_B;0.5;Frustration;Item power caps in lethal black zones have ruined the game.
20;UgxiKxyygCXpb8r0tF54AaABAg;1;You broke: -solo /Group dungeon -static are shit -open world / camp nerfed to ground  But y good pve patch;@Zjawaz;2026-08-28;0;5;1;10;CAMP_B;0.6;Disappointment;Dungeons and open-world content have been broken or nerfed, despite this being a good PVE patch.
21;UgxYnfIzKTZmxIHT-hx4AaABAg;1;The drakes needing to be fed other mounts is an awesome addition;@Smocman;2026-08-30;4;0;0;4;CAMP_A;0.5;Excitement;Requiring drakes to be fed other mounts is an awesome gameplay addition.
22;Ugwav_As3bPaH3yK-T54AaABAg;1;The 20-player Dragon Sanctuary really feels like a proper large-scale raid! 🐉🔥 Fighting through Maeve all the way to Azaryon, plus the new Dragonslayer gear and Firewing Drake, makes this PvE update really exciting. Can’t wait for August 31! 😆🍀 20人的龍之聖域真的越來越有大型Raid的感覺了！🐉🔥 從梅芙一路打到Azaryon，再加上新的龍屠裝備跟火翼龍坐騎，這次PvE內容真的很讓人期待，8/31快來吧！😆🍀;@Albion-JASONx1842;2026-08-28;4;0;0;4;CAMP_A;0.7;Excitement;The 20-player Dragon Sanctuary feels like a proper large-scale raid and makes this PvE update extremely exciting.
23;Ugw1L7pMJx8aOm-Hukh4AaABAg;1;no dragon shapeshifter D:;@kawkaxd5878;2026-08-28;4;0;0;4;CAMP_B;0.3;Disappointment;Disappointed by the lack of a dragon shapeshifter weapon.
24;UgwW572spemPICoacWd4AaABAg;1;Probably the best update game design-wise. Expanding each type of content by adding a single new enemy is amazing. New items introduce truly new and unique ways to deal with the current meta. The dragon debuff is a great way to make the dungeons more fair and force more commitment out of the players who will be grinding them. Also, dragon cookies is something we needed for a long time. Player-made end-game buffs produced fron the rarest ingredients is something the game was lacking.;@andreymurashev2114;2026-08-28;4;0;0;4;CAMP_A;0.6;Excitement;This is one of the best game design updates, introducing fair dungeon debuffs and endgame buffs via dragon cookies.
25;UgyAGSes4JcxfIVm-Md4AaABAg;1;Cya Pork Omelette 7:30;@stalker31333;2026-08-28;3;1;1;5;CAMP_C;0.3;Neutral;Commenting on in-game food items and timing.
26;UgwvQ6F8uZrK-8LGDsp4AaABAg;1;8.4 Players in the Mist (will be very happy to have a Potion of Rebirth) 👉👈;@True_Guy---0;2026-08-28;2;2;1;6;CAMP_A;0.4;Excitement;Mist players will be very happy to receive the Potion of Rebirth.
27;UgwGXjssHWtfKuHWuN94AaABAg;1;I want plate and cloth dragon armor too;@spacedoggo8818;2026-08-28;2;2;1;6;CAMP_A;0.4;Excitement;Expressing desire for plate and cloth dragon armor sets as well.
28;Ugz4cVJz00VPMsLS9dN4AaABAg;1;1:08 you could've at least used the ability properly in the showcase🤣;@TBanj;2026-08-28;1;3;1;7;CAMP_B;0.3;Sarcasm;Teasing the developers for failing to use the ability properly during the showcase.
29;UgzOXA6fxeFE3S_3IbJ4AaABAg.Aa30GGsrgfhAa34TzZ8OKi;1;Trueeeeee and reallllll;@matthewmammothswine4395;2026-08-28;3;0;1;3;CAMP_C;0.3;Neutral;Agreeing with previous supportive comment.
30;UgwRCaHxQtss32GZvX94AaABAg;1;Excited for this update is an UNDERSTATEMENT!! I haven't been this excited since the F2P launch!;@Hambone1;2026-08-28;3;0;0;3;CAMP_A;0.8;Excitement;Unprecedented level of excitement not felt since the F2P launch.
31;Ugz0SoF96DiKUfafhfR4AaABAg;1;nerf mobility in mists;@chisnoi;2026-08-28;3;0;0;3;CAMP_B;0.5;Frustration;Mobility in the mists needs to be nerfed.
32;UgzB6EUk4FvC2c7lgZh4AaABAg.Aa2cqGqfIDcAa2vrq5JKL0;1;Im wondering about the cloth and plate dragon armours;@kadiusmanticore3933;2026-08-28;3;0;1;3;CAMP_A;0.3;Neutral;Wondering about additional cloth and plate armor sets.
33;UgzemOVuADAeCwHsVrN4AaABAg;1;"0:39 Black zone t7 last boss green chest giving 50k I know it says ""no premium"" but cmon";@antytytan;2026-08-28;1;2;1;5;CAMP_B;0.5;Disappointment;Complaining about low payouts from black zone green chests on the test server.
34;UgxZAXsEmcGPIlzzzVl4AaABAg;1;Dead game.  Just zombie runs from camp to camp, rats and softusers.  F@#$..g ctrlC ctrlV updates and endless rebalancing 😂  This update got boring before it even came out 😂  Whats the point of new gear when only 30% of old gear gets used 😂    Time to del it... u cant make good game 😂  So sad... for the years spent on it 😢;@miniejik;2026-08-28;0;3;1;6;CAMP_B;0.9;Anger;Calling the game dead due to endless rebalancing, copy-paste updates, and software users.
35;Ugxrz7BO_b1_yKTcfuh4AaABAg;1;Give me timing where he talks about black pvp zones. I don't care about dumb pve in albion;@LuxifyTV;2026-08-28;0;3;1;6;CAMP_B;0.4;Disappointment;Dismissing PVE content and asking only for black zone PVP timings.
36;UgwyMDCBFzwQUXkEy7h4AaABAg;1;DRACARYS;@Keymore201;2026-08-29;2;0;0;2;CAMP_A;0.6;Excitement;Hype expression using a dragon reference.
37;UgwvQ6F8uZrK-8LGDsp4AaABAg.Aa3mN5Ug2NKAa3t4ElGPOK;1;they wont use it;@robloxGrinding-g6n;2026-08-28;2;0;1;2;CAMP_B;0.3;Neutral;Doubtful that players will utilize the new items.
38;UgwvQ6F8uZrK-8LGDsp4AaABAg.Aa3mN5Ug2NKAa4i3sWoDu9;1;2x heal with smuggler will be way better still. You can use rev pot with smuggler because of the debuff. Even doble gig/res is better;@Strapazenkinder__1;2026-08-29;2;0;1;2;CAMP_B;0.4;Neutral;Arguing that other item combinations are still superior to the new additions.
39;UgyNXhtFPZ2fMvZcXKh4AaABAg;1;Shity update, just to get a disproportionate mount and irrelevant armors;@pablostelmachuk;2026-08-28;2;0;0;2;CAMP_B;0.6;Disappointment;Calling the update crappy with disproportionate mounts and irrelevant armors.
40;Ugw1-68Ovo_f6OGrxMt4AaABAg;1;Yeah, now fix scouting od black zone and red zone...;@matidbb8356;2026-08-28;2;0;0;2;CAMP_B;0.5;Frustration;The developers need to fix scouting in black and red zones.
41;UgxKS-1rx0gIzc-g6bl4AaABAg;1;Nerf iron-clad + knight armor in statics its not healthy for the game, wonder why statics are dead when theres always 8 man iron clad + nature group that u cant do anything against :D;@VEILII;2026-08-28;2;0;0;2;CAMP_B;0.7;Anger;Iron-clad and knight armor combinations in static dungeons are unhealthy for the game and need a nerf.
42;UgxZAXsEmcGPIlzzzVl4AaABAg.Aa3Fggkpb2ZAa3SBQ8UsmS;1;yellow zone warrior with sub 5m killfame throwing a tantrum;@De2t3ny;2026-08-28;2;0;1;2;CAMP_B;0.6;Anger;Mocking someone as a yellow zone warrior throwing a tantrum.
43;Ugy8ebpgP8PZUH1t2cN4AaABAg.Aa30hteG21dAa3Rdz6viMc;1;why would we need another server lmao;@De2t3ny;2026-08-28;2;0;1;2;CAMP_B;0.3;Neutral;Questioning the need for another server.
44;UgzNsq_yGG-C1P6Jtah4AaABAg.Aa2xxDpK9jlAa37K7BF236;1;this never gonna happening;@T77-x7s;2026-08-28;2;0;1;2;CAMP_C;0.3;Neutral;Stating that server transfers will never happen.
45;UgzNsq_yGG-C1P6Jtah4AaABAg.Aa2xxDpK9jlAa3GfS1_R2G;1;​@LoveyLand Not pointless at all and if you just think a bit about I am sure you can get the point!;@chrisbenn;2026-08-28;2;0;1;2;CAMP_C;0.3;Neutral;Defending the idea that server transfers have a valid point.
46;Ugwc4-tQcXT1SHxMqbh4AaABAg;1;Dragon spirit? Esta muy bien! Asi no podran spamear las dungeons  todo el tiempo los mismos jugadores 👏;@thevortex9615;2026-08-28;2;0;0;2;CAMP_A;0.5;Excitement;The dragon spirit addition is great because it stops the same players from spamming dungeons constantly.
47;UgyixCDL7lkSOzDs3Jd4AaABAg;1;Nerf iron-clad + knight armor in statics its not healthy for the game, wonder why statics are dead when theres always 8 man iron clad + nature group that u cant do anything against 😄;@alfhari9;2026-08-28;2;0;0;2;CAMP_B;0.6;Frustration;Complaining that iron-clad and nature group compositions make static dungeons unplayable.
48;UgwOqEhLWVDCy0evDK54AaABAg;1;holy this looks so good!!! so excited for the random dragon boss encounter!!!;@meghanchalo;2026-08-28;2;0;0;2;CAMP_A;0.8;Excitement;Expressed high excitement for random dragon boss encounters.
49;UgyAGSes4JcxfIVm-Md4AaABAg.Aa2n31qL7DHAa2xB0Y8P9q;1;My wallet is already bleeding xd;@FEFEAO;2026-08-28;2;0;1;2;CAMP_C;0.4;Neutral;Joking about in-game wallet expenses.
50;Ugy8f9aA5A5GKuijATZ4AaABAg;1;damn the debuff;@melankolie1343;2026-08-28;2;0;0;2;CAMP_A;0.4;Excitement;Highlighting the impact of the new debuff.
51;Ugy9LVK6LIIAMUY3D_N4AaABAg.Aa2g00_PFxyAa2vEfEIV1X;1;Let me guess the price of a drake in Asia initially will be 300m+ And maybe will hit 750m someday;@OatmealOOf;2026-08-28;2;0;1;2;CAMP_C;0.5;Neutral;Predicting massive price spikes for drake mounts on the Asia server.
52;Ugy9LVK6LIIAMUY3D_N4AaABAg.Aa2g00_PFxyAa31KVv-2s_;1;Idk, kind of wish it could attack players.;@Liz-v9b8v;2026-08-28;2;0;1;2;CAMP_A;0.3;Neutral;Wishing that the mount could attack players directly.
53;UgwWoyrtGap0LLB3LWp4AaABAg.Aa2cugOTqBfAa2gM3uk_W2;1;😂 please use ur brain instead of ur ass to think😂..it is 4k pve dmg against mobs not player;@user-ci4hu2jg4i;2026-08-28;2;0;1;2;CAMP_B;0.5;Anger;Correcting another user that the massive damage is against PvE mobs, not players.
54;Ugw2ZNCwx29khwUQc5d4AaABAg;1;4:55 good luck gatherers;@AbyssalEcho-m6q;2026-08-28;1;1;1;3;CAMP_A;0.4;Excitement;Wishing gatherers good luck with the new update changes.
55;UgwI6XVCtH--K4kxlrd4AaABAg;1;WHO tf gonna cook dragon egg for just 5% fame :0  it will be like over 200m  it should give like 100-200% fame bonus :/;@SISI-2321;2026-08-28;1;1;1;3;CAMP_C;0.6;Frustration;Cooking dragon eggs for a mere 5% fame bonus makes no economic sense given the likely high cost.
56;UgxBKSOTTcuZrhIjtPh4AaABAg;1;As roupas não fazem jus ao dragão deveriam parecer algo mais imponente realmente: couro de dragão e escamas.;@regapeso;2026-08-28;1;1;1;3;CAMP_B;0.4;Disappointment;The armor designs lack imposing features like actual dragon scales and hide.
57;Ugwx9efJwu5m3mikN_54AaABAg;1;4:10 you mean cartels, right?;@Roadkiller85;2026-08-28;1;1;1;3;CAMP_C;0.3;Neutral;Questioning if they meant cartels instead of general groups.
58;Ugz137TRatAg9QixO_h4AaABAg;1;Dude i mean... goodbye to BOOMBS;@xXMrFoxMclaoudXx;2026-08-28;0;2;1;4;CAMP_B;0.5;Disappointment;Bidding farewell to bomb squads due to new mechanics.
59;UgyFqynEtipWsyb-NN14AaABAg;1;One small concern about sbi player ban system  My friend and other player are getting ban  For rmt which they not Even doing  Like they are raid lead  They sell tabs to black market guy And distribute to friends who participated. My friend is the guy who buy black market items  He got his id ban  He send all the details of loot tab bought silver given to player but still after that they say account ban permanently This is very ridiculous and annoying at the same time  Same happened to my other friend who is skin seller . Pls do something about this sbi  You guys not even tracing Where silver is coming from and why given.;@mrdark2482;2026-08-28;0;2;1;4;CAMP_B;0.7;Anger;Complaining about unfair permanent bans handed out by SBI's player ban system regarding black market trades.
60;Ugy0O-HAYswvKlpR3ex4AaABAg;1;my hype is close to non-existent;@xilomagalhaes;2026-09-01;1;0;0;1;CAMP_B;0.3;Disappointment;Hype levels for the update are close to non-existent.
61;UgzfRk7V4PM-MM8USo54AaABAg;1;You guys are awesome , it would be even better if you could think about solo players;@Ganganadhi;2026-08-31;1;0;0;1;CAMP_D;0.4;Neutral;Praising the developers while asking them to consider solo players more.
62;UgyHvkZepkNezuieR7d4AaABAg;1;This game is so bad for solo players lol;@mrtom8042;2026-08-30;1;0;0;1;CAMP_D;0.5;Frustration;The game is poorly designed for solo players.
63;UgwNkdL3I4MmVr7DzpF4AaABAg;1;Why Ava chests inside a Keeper dungeon? What's or where is the association of the two, Avalonian and Keeper? I bet Ava lore update is coming next, possibly...!!;@dasick91;2026-08-30;1;0;0;1;CAMP_A;0.4;Excitement;Questioning why Avalonian chests are in a Keeper dungeon, hinting at a future lore update.
64;UgwsTzfB3WfPgNpw5hB4AaABAg;1;What's the point of doing all this when you're getting bombed in every zones and every activities available in the game. Big guilds and players are just swiping their cards legally or illegally and bombing everywhere with unbalanced weapons. Playing this game is a waste of time and effort.;@Headphonejack6859;2026-08-29;1;0;0;1;CAMP_B;0.7;Anger;Playing the game is a waste of time because p2w players constantly bomb every zone with unbalanced weapons.
65;UgxsdAnCp3k7EWReiK14AaABAg;1;no pvp content = the opposite of Albion, boring ...;@jdxpectrum3795;2026-08-28;1;0;0;1;CAMP_B;0.5;Disappointment;Lack of PvP content makes the update boring and contrary to Albion's spirit.
66;Ugw5Hzuc6P4N7ZnV31V4AaABAg;1;When are we getting a non-isometic Albion II?;@xMenace;2026-08-28;1;0;0;1;CAMP_B;0.3;Neutral;Asking when a non-isometric Albion II will be released.
67;UgzeXITIZuHt42HEIGZ4AaABAg;1;Sabe o que seria foda. Se o Dragão deixasse uma área onde ele ataca toda queimada de fogo por algumas horas. Ai não apareceria nenhum mob e nem recurso.;@DeLiio;2026-08-28;1;0;0;1;CAMP_A;0.4;Excitement;Suggesting a cool mechanic where dragons leave burned areas devoid of mobs and resources.
68;UgwD9ocTtjgrzpzDd5J4AaABAg;1;Skins for guild hideouts when?;@fettelpaxton7789;2026-08-28;1;0;0;1;CAMP_A;0.3;Neutral;Asking for guild hideout skins.
69;UgzaFFBP2EHono2mnbZ4AaABAg;1;No cloth and metal gear?;@FrancimarioGomes-ov3nl;2026-08-28;1;0;0;1;CAMP_B;0.4;Disappointment;Complaining about the absence of metal and cloth gear.
70;Ugw2ZNCwx29khwUQc5d4AaABAg.Aa3KH6E2ouFAa3PYVVIJmO;1;Just more shit to fuck us 😂;@arcanacoltic971;2026-08-28;1;0;1;1;CAMP_B;0.5;Frustration;Updates only bring more trouble for players.
71;UgyWN15ZIMzAIYRLV754AaABAg;1;Best game to grief players online;@apset6172;2026-08-28;1;0;0;1;CAMP_B;0.4;Sarcasm;Sarcastic comment about Albion being the best game for griefing players.
72;UgwZk4Brt6RhNjgkTZd4AaABAg;1;Don’t forget a native Mac Silicone client :);@Dalton-p9d5m;2026-08-28;1;0;0;1;CAMP_A;0.3;Neutral;Requesting a native Mac Silicon client.
73;UgxZAXsEmcGPIlzzzVl4AaABAg.Aa3Fggkpb2ZAa4kFVTcGOO;1;Yellow zone warrior crying again? Boo hoo game bad game dead 😂;@Strapazenkinder__1;2026-08-29;1;0;1;1;CAMP_B;0.6;Anger;Mocking complainers as yellow zone warriors.
74;UgwsDG8qg-DuqOui6MB4AaABAg;1;This new guy Nick seems to be cool, I like him;@Kelimok777;2026-08-28;1;0;0;1;CAMP_A;0.3;Excitement;Complimenting the new presenter Nick.
75;Ugx1MZo6T8QKyGNEokZ4AaABAg.Aa36M6QcuqjAa37YTlRi1z;1;Faction was sht in 2020 most of which was dominated by big guild with huge budget and proper trained veteran players, new players had no chance then.  Faction 2026 is best. Camps are best for new players and solo players who wants to enjoy the game with big random zerg. If you dont like it dont play faction, go in black zone with your zvz group.;@tamimhasan3084;2026-08-28;1;0;1;1;CAMP_B;0.6;Frustration;Faction warfare in 2026 is better for new and solo players than it was in 2020.
76;Ugx1MZo6T8QKyGNEokZ4AaABAg.Aa36M6QcuqjAa3S1e_x-98;1;if you want real fights join a guild and go to the blackzone, bub wants real fights against zombies lmao;@De2t3ny;2026-08-28;1;0;1;1;CAMP_B;0.5;Sarcasm;Suggesting players go to the black zone for real fights instead of complaining about faction camps.
77;UgyFqynEtipWsyb-NN14AaABAg.Aa33WBR5br3Aa4ncCemL38;1;@tamimhasan3084 Noone ever is giving a small cut its either full silver split, or 80% or its  auctioned starting from a resonable number if theres a lot of loot for the whole zerg (usually 70%). Better yet why is there under every negative comment a zinji who likes to bootlick sbi far too much?;@Tartarumaru-n7u;2026-08-29;1;0;1;1;CAMP_B;0.7;Anger;Defending banned players and accusing others of bootlicking SBI.
78;UgzNsq_yGG-C1P6Jtah4AaABAg.Aa2xxDpK9jlAa39BPmHoCJ;1;That would destroy the economy in every way so that will never happen. Completely pointless merger;@LoveyLand;2026-08-28;1;0;1;1;CAMP_C;0.4;Neutral;Server mergers would destroy the economy.
79;UgzNsq_yGG-C1P6Jtah4AaABAg.Aa2xxDpK9jlAa3A5fXe_Tr;1;@LoveyLand would be possible if they only let you trasfer the carachter without loot money or anything. just the carachter with the unlocked weapons and with the fame;@kazy6335;2026-08-28;1;0;1;1;CAMP_C;0.3;Neutral;Suggesting character-only transfers without loot or silver.
80;UgzNsq_yGG-C1P6Jtah4AaABAg.Aa2xxDpK9jlAa3AekUtFc4;1;@kazy6335 silver and IP are very much connected lol. It will catergorically never happen. Just start a new character on another server if u want to play on it.;@LoveyLand;2026-08-28;1;0;1;1;CAMP_C;0.4;Neutral;Silver and IP are deeply connected, making transfers impossible.
81;UgyVmhn2uIzpohbU5LV4AaABAg;1;Damn, dragon mount will be super expensive after mammoth. Especially on Asia servers;@rfz4151;2026-08-28;1;0;0;1;CAMP_C;0.4;Neutral;Predicting the dragon mount will be extremely expensive, especially on Asia servers.
82;UgwGXjssHWtfKuHWuN94AaABAg.Aa2w-decNiwAa3NeMg2q_4;1;Ig more element of dragon gonna come and it will be for cloth and plate armor line ..maybe...fire . Ice ... who knows .let's see;@amitmunda348;2026-08-28;1;0;1;1;CAMP_A;0.3;Excitement;Hoping for elemental cloth and plate dragon armor variations.
83;UgyvfQQ2SLNUeDrtJ1x4AaABAg;1;будут , ли какието другие боссы в новых данжах? ато как для самого сложного пве их мало;@vp_Stalk;2026-08-28;1;0;0;1;CAMP_B;0.3;Frustration;Complaining about the lack of boss variety in high-end PVE content.
84;Ugy4KSpkqKmJMv2qVwd4AaABAg;1;7:39 most staged fight i have ever seen xD;@eusebioproxd2675;2026-08-28;1;0;0;1;CAMP_B;0.4;Sarcasm;Calling out the showcased fight as heavily staged.
85;UgwfvEaOIG3c3-jEFrN4AaABAg;1;When the battleships PvP in the sea ? :))) Why the dragons eateth horses, lol. They loven eat the brwn cw :))));@vyktorzhuravlev8304;2026-08-28;1;0;0;1;CAMP_A;0.3;Excitement;Playfully asking about naval PvP and dragon diets.
86;Ugw4ezl2QNZ0B1GOh8l4AaABAg;1;keep adding more pve and im defo coming back to the game 100% !;@StoyanStoyanov-b7y;2026-08-28;1;0;0;1;CAMP_A;0.6;Excitement;Returning to the game because of added PVE content.
87;UgzccANf-daxVl4VqtZ4AaABAg;1;The leyfin food and the undead potion is going to be so op  ..healers will never die ever;@amongogoi4652;2026-08-28;1;0;0;1;CAMP_B;0.5;Frustration;New food and potions will make healers completely unkillable and overpowered.
88;UgzHvoHvLobgyCzVCWF4AaABAg.Aa2nW9_I92UAa4YseobHxr;1;not yet probably, because introducing many weapons would and can crash the whole economy, it'll also destroy the meta weapons 😂;@LeonsZzzzz;2026-08-29;1;0;1;1;CAMP_C;0.4;Neutral;Explaining that immediate weapon additions would crash the economy and break the meta.
89;UgzHvoHvLobgyCzVCWF4AaABAg.Aa2nW9_I92UAa4iS__pLDi;1;Probably later, theres always lots of stuff coming in, materials, potions, eggs, zones, monsters. I hope we get cloth dragon armor + dragon weapons later;@Strapazenkinder__1;2026-08-29;1;0;1;1;CAMP_A;0.3;Excitement;Hoping cloth armor and dragon weapons arrive later.
90;UgworXZvhPwUL-YF4Hh4AaABAg;1;the power creep is going to be bonkers;@russellyoung609;2026-08-28;1;0;0;1;CAMP_B;0.5;Frustration;Warning that power creep is going to be extreme.
91;Ugxrz7BO_b1_yKTcfuh4AaABAg.Aa2i1Is1El-Aa2pgwqaWe3;1;Your loss;@andreymurashev2114;2026-08-28;1;0;1;1;CAMP_B;0.4;Anger;Dismissive retort about losses.
92;Ugxrz7BO_b1_yKTcfuh4AaABAg.Aa2i1Is1El-Aa4kIZnZexL;1;Neither do we care about you;@Strapazenkinder__1;2026-08-29;1;0;1;1;CAMP_B;0.4;Anger;Mutual dismissal of opinions.
93;Ugy9LVK6LIIAMUY3D_N4AaABAg.Aa2g00_PFxyAa6uDbvE4tJ;1;@Liz-v9b8v it does, and deals 2987 of fire damage to test dolls in pve server (its a looonnggg canalization);@VAsmodeux;2026-08-30;1;0;1;1;CAMP_A;0.3;Neutral;Providing testing data on fire damage dealt to test dolls.
94;Ugy9LVK6LIIAMUY3D_N4AaABAg.Aa2g00_PFxyAa700zmSkGH;1;​@VAsmodeuxOMG;@Liz-v9b8v;2026-08-30;1;0;1;1;CAMP_A;0.1;Neutral;Tagging another user.
95;Ugwf62XmCTm6Ao_Q3Rt4AaABAg.Aa2eykcCvWNAa2hJRlt1mx;1;​@ninja.cybered I said 100m plus, not exactly 100m. Plus, the grind you're talking about is for someone who doesn't have a life. 😑 Spending 8 hours on the game just to earn 10m? 😐 It's better to get a job and buy Gold, then convert it to Silver, rather than spend your life in the game just to get a Dragon mount. That's sad, bro. Meanwhile, a guy who has a job can buy Gold, convert it to Silver, socialize with people, experience fresh air, and touch grass. And you're flexing your Dragon, meanwhile some guy just bought it like it was nothing with Gold. 😐 If you have that kind of life, kid, better touch some grass. The game ain't worth it.;@MgaBOBO69;2026-08-28;1;0;1;1;CAMP_C;0.6;Anger;Arguing that spending your whole life grinding for silver in-game is sad compared to working and buying gold.
